Elev,  Lat,  Long, Mdl,  Tmp,  RH , Wind,   PPT ,  ERC,   BI,   SC, KBDI,   HUN,  THOU,   TEN,  STL, ADJ,  I   
 663, 34.7,  86.4, 7G ,   91,   47,    4,    .00,   32,   25,    3,  695,    15,    17,     9,   3 ,  M , 12   
 970, 34.3,  87.3, 7G ,   86,   56,    3,    .00,   28,   22,    3,  578,    15,    18,    11,   4 ,  M ,  7   
1200, 34.4,  85.6, 7G ,   72,   71,    2,    .00,   20,   13,    1,  278,    17,    20,    15,   2 ,  L ,  2   
1104, 33.9,  86.3, 7G ,   79,   74,    1,    .31,   21,   13,    1,  512,    17,    19,    15,   3 ,  M ,  2   
1050, 33.7,  85.7, 8G ,   84,   48,    1,    .00,   28,   28,    5,  619,    14,    17,    10,   3 ,  M , 11   
 805, 33.8,  85.5, 7G ,   72,   92,    0,    .08,    8,    0,    0,  615,    17,    19,    35,   1 ,  L ,  0   
 600, 33.4,  86.0, 7G ,   94,   38,    5,    .00,   31,   27,    4,  635,    15,    18,     8,   5 ,  H , 17   
 932, 33.1,  86.0, 7G ,   87,   63,    1,    .00,   23,   16,    2,  505,    16,    20,    12,   3+,  M ,  5   
 908, 33.6,  85.6, 7G ,   75,   76,    4,    .00,   20,   18,    2,  556,    17,    20,    15,   3+,  M ,  2   
 372, 32.9,  87.8, 7G ,   91,   50,    2,    .00,   29,   18,    2,  524,    15,    18,    10,   3 ,  M ,  8   
 363, 32.9,  87.1, 7G ,   90,   59,    1,    .00,   26,   18,    2,  502,    16,    18,    11,   2 ,  L ,  6   
 509, 32.4,  85.5, 7G ,   85,   59,    4,    .00,   25,   19,    2,  676,    16,    19,    12,   2 ,  L ,  6   
 216, 32.4,  86.2, 7G ,   93,   45,    2,    .00,   31,   22,    2,  528,    16,    18,    10,   3 ,  M , 10   
 445, 31.6,  87.7, 7G ,   93,   40,    7,    .00,   32,   30,    5,  613,    14,    18,     8,   3 ,  M , 18   
    , 31.7,  86.0, 7G ,   90,   52,    2,    .00,   25,   18,    2,  601,    16,    19,    11,   3 ,  M ,  7   
 275, 31.0,  86.5, 7G ,   92,   51,    4,    .04,   27,   23,    3,  459,    16,    19,    10,   3-,  M , 11   
 321, 31.1,  86.7, 7G ,   91,   47,    2,    .11,   29,   19,    2,  464,    16,    18,     9,   3 ,  M , 10   
 170, 31.0,  87.0, 7G ,   88,   62,    0,    .00,   33,   19,    2,  789,    16,    16,    12,   3 ,  M ,  5   
  20, 30.2,  87.8, 8D ,   91,   55,    2,    .00,   50,   44,    7,  463,    15,    20,    10,   3-,  M , 10 
 185, 32.6, 114.6, 7B ,  108,   25,   11,    .00,   79,  155,   67,  751,     6,     6,     5,   3 ,  H , 72   
7605, 36.3, 113.1, 7H ,   85,   20,    8,    .00,   53,   33,    3,  440,     4,     4,     4,   4 ,  V , 50   
2900, 36.5, 113.8, 7A ,  107,   11,    7,    .00,    4,   43,   90,  653,     3,     3,     2,   3 ,  H , 55   
5200, 36.5, 113.7, 7G ,   96,   15,   12,    .00,  107,  105,   21,  509,     3,     3,     3,   4 ,  V , 76   
6500, 36.3, 113.1, 7U ,   90,   17,    4,    .00,   48,   33,    4,  476,     5,     5,     4,   4 ,  H , 38   
7224, 36.7, 113.7, 7H ,   90,   17,    4,    .00,   55,   26,    2,  408,     4,     4,     3,   4 ,  H , 39   
3590, 35.2, 114.3, 7A ,  101,   14,    8,    .07,    3,   44,  100,  530,     5,     4,     3,   3 ,  H , 51   
5445, 36.6, 113.2, 7H ,   99,   10,    5,    .00,   61,   31,    3,  738,     3,     3,     2,   4 ,  V , 58   
5304, 35.7, 113.7, 7G ,   98,   15,    9,    .00,  102,   85,   14,  446,     4,     4,     3,   5 ,  V , 58   
6796, 35.8, 113.0, 7G ,   82,   25,    7,    .00,   91,   66,    9,  478,     4,     5,     5,   4 ,  H , 30   
6160, 36.1, 113.5, 7U ,   95,   16,    5,    .07,   45,   35,    5,  549,     8,     6,     4,   3 ,  M , 44   
7842, 34.3, 111.0, 7J ,   78,   26,    1,    .12,  197,   75,    6,  369,     9,     9,     6,   3 ,  M , 19   
5280, 36.7, 112.5, 7G ,  100,   11,    6,    .00,  107,   76,   10,  589,     3,     4,     2,   4 ,  V , 59   
6400, 36.9, 112.2, 7G ,   99,   10,    7,    .00,  102,   80,   12,  570,     3,     4,     2,   5 ,  V , 64   
7235, 36.7, 111.8, 7G ,   93,   13,    4,    .00,  101,   61,    7,  596,     3,     4,     3,   5 ,  V , 44   
6560, 36.7, 112.0, 7G ,   97,    8,    6,    .00,  102,   73,   10,  621,     3,     5,     2,   5 ,  V , 58   
6635, 34.3, 110.5, 7G ,   88,   21,    5,    .09,   68,   55,    8,  365,     8,    10,     5,   3 ,  M , 36   
6653, 34.1, 109.9, 7K ,   92,   15,    5,    .00,   76,   55,    7,  395,     8,    10,     4,   3 ,  H , 51   
7102, 34.1, 110.2, 7G ,   93,   15,    8,    .00,   85,   79,   14,  470,     6,     7,     3,   3 ,  H , 61   
7269, 33.6, 109.7, 7G ,   88,   19,    5,    .05,   62,   53,    8,  360,    10,    11,     5,   3 ,  M , 42   
5579, 35.8, 110.6, 7L ,   99,   11,    6,    .00,    7,   48,   61,  687,     4,     5,     3,   3+,  H , 55   
8209, 33.8, 109.1, 7G ,   64,   56,    4,    .17,   54,   38,    5,  288,     9,    11,    10,   3 ,  M ,  8   
8110, 35.7, 109.1, 7K ,   86,   17,    5,    .00,   82,   56,    7,  233,     5,     8,     4,   5 ,  V , 42   
8240, 34.0, 109.4, 7J ,   85,   19,    4,    .04,  215,  109,   12,  174,     8,    11,     4,   3 ,  M , 40   
4580, 33.5, 110.3, 7G ,   99,   16,   10,    .00,   89,   87,   17,  720,     6,     6,     4,   5 ,  V , 63   
5385, 34.5, 112.5, 7G ,   96,   16,    6,    .00,   81,   66,   10,  535,     7,     7,     4,   3 ,  H , 48   
6078, 34.2, 112.3, 7G ,   93,   20,    5,    .04,   83,   63,    9,  637,     7,     6,     4,   3 ,  M , 44   
3101, 34.5, 111.8, 7B ,  107,   15,    3,    .00,   97,  109,   25,  687,     6,     6,     3,   3 ,  H , 64   
5250, 34.1, 112.3, 7A ,   95,   19,   12,    .00,    3,   55,  188,  505,     5,     5,     4,   2 ,  M , 61   
5147, 34.5, 112.0, 7B ,  101,   15,    7,    .00,  100,  148,   48,  560,     6,     6,     3,   3 ,  V , 91   
4137, 33.3, 110.7, 7G ,  102,   14,    7,    .00,   91,   73,   11,  632,     6,     5,     3,   3 ,  H , 55   
4975, 34.2, 111.3, 7G ,   99,   15,    4,    .00,   85,   55,    7,  578,     5,     7,     3,   3 ,  M , 44   
5179, 34.0, 110.9, 7G ,   98,   15,    5,    .07,   81,   59,    8,  658,     7,     7,     4,   3 ,  H , 48   
