,Stn ID,Stn Name,Elev,Lat,Long,Mdl,Tmp,RH,Wind,PPT,ERC,BI,SC,KBDI,HUN,THOU,TEN,STL,ADJ,IC,State,Elev_standard,Tmp_standard,RH_standard,Wind_standard,PPT_standard,BI_standard,Long_adj,Agglo_clusters,posterior_clusters
0,240217,HUNGRY HORSE RD,3225,48.3,114.0,7G,78,30,1,0.0,59,46,7,524,10,11,6,5,V,24,Montana,-0.4218595893481575,-0.04615384615384599,-0.4,-0.9285714285714286,-1.0,0.177403038249237,-114.0,0,C0
0,43914,POVERTY,2067,37.4,121.7,7C,88,22,6,0.0,19,37,12,478,7,7,5,3,M,42,California,-0.6295167219582175,0.2615384615384615,-0.56,-0.5714285714285714,-1.0,-0.10568291301041698,-121.7,0,C0
0,101708,TOWN CREEK,4500,43.9,115.9,7G,89,17,3,0.0,83,64,9,515,7,7,4,4,H,43,Idaho,-0.19322155473863534,0.29230769230769216,-0.6599999999999999,-0.7857142857142857,-1.0,0.743574940768545,-115.9,0,C0
0,42609,PILOT HILL,1249,38.8,121.0,7J,95,18,4,0.0,237,129,15,668,7,7,4,3,H,46,California,-0.7762037120057383,0.476923076923077,-0.64,-0.7142857142857143,-1.0,2.7880845887549346,-121.0,0,C1
0,446801,JAMES RIVER NWR,50,37.2,77.1,7G,88,60,1,0.41,16,11,1,281,19,22,12,2,L,4,Virginia,-0.9912131265130458,0.2615384615384615,0.19999999999999996,-0.9285714285714286,-0.7650429799426934,-0.923486772204973,-77.1,1,C0
0,16703,BON SECOUR,15,30.2,87.8,8D,82,37,3,1.68,4,0,0,442,20,21,35,1,L,0,Alabama,-0.997489464718013,0.07692307692307665,-0.26,-0.7857142857142857,-0.037249283667621924,-1.2694807126334389,-87.8,1,C0
0,384601,WALTERBORO,24,32.9,80.6,7G,87,65,8,0.9,16,27,8,26,19,23,12,,,12,South Carolina,-0.995875549179593,0.23076923076923084,0.30000000000000004,-0.4285714285714286,-0.4842406876790831,-0.42022285885447697,-80.6,1,C0
0,40430,SLATE CREEK,4178,41.3,123.6,7G,79,29,11,0.0,85,99,24,706,5,6,5,5,V,54,California,-0.2509638662243342,-0.01538461538461533,-0.42000000000000004,-0.2142857142857143,-1.0,1.844464751222755,-123.6,0,C0
0,44724,SHADEQUARTER,4360,36.5,118.9,7B,90,23,5,0.0,79,125,42,719,6,6,4,3,H,63,California,-0.21832690755850448,0.3230769230769228,-0.54,-0.6428571428571429,-1.0,2.6622686104173106,-118.9,0,C1
0,40313,BEAR FLAT,5972,41.2,120.3,7K,84,13,7,0.0,87,67,10,351,6,6,3,3,H,53,California,0.07074329776741695,0.1384615384615384,-0.74,-0.5,-1.0,0.8379369245217629,-120.3,0,C0
